#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  61.0000000    1.5984637450e+01    1.5984637450e+01    1.9627860970e+01    1.5987951918e+01    1.5987951918e+01    1.2415260500e+01
  61.2000000    1.5984502200e+01    1.5984502200e+01    1.9627918580e+01    1.5987805496e+01    1.5987805496e+01    1.2415434820e+01
  61.4000000    1.5984368230e+01    1.5984368230e+01    1.9627981975e+01    1.5987658753e+01    1.5987658753e+01    1.2415595098e+01
  61.6000000    1.5984235288e+01    1.5984235288e+01    1.9628050482e+01    1.5987512112e+01    1.5987512112e+01    1.2415741668e+01
  61.8000000    1.5984103107e+01    1.5984103107e+01    1.9628123471e+01    1.5987365927e+01    1.5987365927e+01    1.2415875149e+01
  62.0000000    1.5983971436e+01    1.5983971436e+01    1.9628200352e+01    1.5987220482e+01    1.5987220482e+01    1.2415996446e+01
  62.2000000    1.5983840066e+01    1.5983840066e+01    1.9628280570e+01    1.5987075996e+01    1.5987075996e+01    1.2416106763e+01
  62.4000000    1.5983708852e+01    1.5983708852e+01    1.9628363576e+01    1.5986932638e+01    1.5986932638e+01    1.2416207615e+01
  62.6000000    1.5983577729e+01    1.5983577729e+01    1.9628448793e+01    1.5986790531e+01    1.5986790531e+01    1.2416300829e+01
  62.8000000    1.5983446717e+01    1.5983446717e+01    1.9628535582e+01    1.5986649771e+01    1.5986649771e+01    1.2416388542e+01
  63.0000000    1.5983315918e+01    1.5983315918e+01    1.9628623215e+01    1.5986510437e+01    1.5986510437e+01    1.2416473175e+01
  63.2000000    1.5983185506e+01    1.5983185506e+01    1.9628710854e+01    1.5986372596e+01    1.5986372596e+01    1.2416557393e+01
  63.4000000    1.5983055704e+01    1.5983055704e+01    1.9628797560e+01    1.5986236308e+01    1.5986236308e+01    1.2416644027e+01
  63.6000000    1.5982926763e+01    1.5982926763e+01    1.9628882302e+01    1.5986101630e+01    1.5986101630e+01    1.2416735984e+01
  63.8000000    1.5982798930e+01    1.5982798930e+01    1.9628964007e+01    1.5985968603e+01    1.5985968603e+01    1.2416836128e+01
  64.0000000    1.5982672418e+01    1.5982672418e+01    1.9629041602e+01    1.5985837248e+01    1.5985837248e+01    1.2416947145e+01
  64.2000000    1.5982547382e+01    1.5982547382e+01    1.9629114086e+01    1.5985707548e+01    1.5985707548e+01    1.2417071405e+01
  64.4000000    1.5982423895e+01    1.5982423895e+01    1.9629180586e+01    1.5985579439e+01    1.5985579439e+01    1.2417210828e+01
